url	English translation	Original Title	keyword
04563.com.ua	white church |04563.com.ua - the site of the city of the white church and the district (belaya church)	Біла Церква | 04563.com.ua - Сайт міста Білої Церкви та району (Белая Церковь)	church
083school.zp.ua	zaporizhzhia gymnasium №83 of the zaporozhye city council	Запорізька гімназія №83 Запорізької міської ради	school
1-osvita.com.ua	comprehensive provision of educational institutions of ukrainefirst education	Комплексне забезпечення навчальних закладів України | Перша Освіта	edu
1001tour.in.ua	home - 1001tour	Главная - 1001Tour	tour
1001tur.in.ua	home - 1001tour	Главная - 1001Tour	tour
100dorog.kiev.ua	"tourist operator ""100 roads"""	Туристический оператор «100 ДОРОГ»	tour
101success.com.ua	101 school of success |financial and consulting company in the field of investment, insurance and real estate	101 Школа Успіху | Фінансово-консультаційна компанія у сфері інвестицій, страхування та нерухомості	school
105.ucoz.ua	catalog of articles - interesting facts	Каталог статей - Цікаві факти	art
106.kiev.ua	106 school - kyiv specialized school №106	106 Школа – Киевская специализированная школа №106	school
10klas2019.at.ua	training site of 10 classes of kruprayerin school - main page	САЙТ УЧНІВ 10 КЛАСУ КРУПОДЕРИНСЬКОЇ ШКОЛИ - Головна сторінка	school
10klasgeo.at.ua	geography manual.10 class - home page	Посібник з географії. 10 клас - Головна сторінка	geograph
10schule.at.ua	pryluk lyceum №10 - main page	Прилуцький ліцей №10 - Головна сторінка	lyceum
11.com.ua	school of ballroom dancing kyiv.studio sports ballroom dance for children and adults - dance studio 11	Школа бальных танцев г. Киев. Студия спортивно бального танца для детей и взрослых - DANCE STUDIO 11	school
11.kyiv.ua	main page of theatrical studio - theater studio 11	Головна сторінка театральної студії - Театр-студія 11	theater
115.kiev.ua	kindergarten in obolon # 115 |kindergarten №115 (obolon, kyiv)	Дитячий садок на Оболоні #115 | Дитячий садок №115 (Оболонь,Київ)	art
123-parfums.com.ua	pex - sale of spare parts with delivery in ukraine!	PEX - Продажа запасных частей с доставкой по Украине!	art
128.kiev.ua	secondary general school of i-iii degrees №128 m. kyiv - dniprovsky district, vul.raisis okipnoy, 6	Середня загальноосвітня школа І-ІІІ ступенів №128 м. Києва – Дніпровський район, вул. Раїси Окіпної, 6	school
12balov.at.ua	material archive - 12 balls	Архив материалов - 12 балов	archiv
12g.at.ua	site school №1 - home page	Сайт школи №1 - Головна сторінка	school
